time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad,ideal_encoder_count_phase5a,count_difference_vs_phase5a
0.551,499.793713038276,0.109332826945797,0.00546664134728983,2.61691376198569,52.3382752397137,2.83861091368055,0,500,498.046875,1.953125,2.83861091368055,2.82649459198865,-303.400532497091,0,2.83861091368055,0.236550909473379,2.83861091368055,0,22.7958157396592,14860,34,498.046875,-1.74683803827565,499.793713038276,498.046875,0,0,0,0,14860,0,0,14860,22.7958157396592,14860,0
0.552,499.818556207079,0.11026761766288,0.00551338088314401,2.61704384051336,52.3408768102672,2.83877658360564,0,500,498.046875,1.953125,2.83877658360564,2.82666026191375,-252.833777080909,0,2.83877658360564,0.23656471530047,2.83877658360564,0,22.8481552776228,14894,34,498.046875,-1.77168120707927,499.818556207079,498.046875,1,1,3,3,14894,0,0,14894,22.8481552776228,14894,0
0.553,499.846219727742,0.110619674827594,0.00553098374137969,2.61718868636884,52.3437737273768,2.83894225353073,0,500,498.046875,1.953125,2.83894225353073,2.82682593183884,-210.694814234091,0,2.83894225353073,0.236578521127561,2.83894225353073,0,22.9004975887495,14928,34,498.046875,-1.79934472774175,499.846219727742,498.046875,0,0,0,0,14928,0,0,14928,22.9004975887495,14928,0
0.554,499.874933678041,0.110754623101795,0.00553773115508974,2.61733903226103,52.3467806452206,2.83910792345582,0,500,498.046875,1.953125,2.83910792345582,2.82699160176393,-175.579011861743,0,2.83910792345582,0.236592326954652,2.83910792345582,0,22.9528428607051,14962,34,498.046875,-1.82805867804052,499.874933678041,498.046875,1,1,3,3,14962,0,0,14962,22.9528428607051,14962,0
0.555,499.904038640452,0.110808683746815,0.00554043418734076,2.61749142548785,52.3498285097571,2.74840118069172,0,500,512.6953125,-12.6953125,2.74840118069172,2.82715727168902,2295.09040678188,0,2.74840118069172,0.22903343172431,2.74840118069172,0,23.0051911633722,14997,35,512.6953125,12.7912738595481,499.904038640452,512.6953125,0,1,1,1,14997,0,0,14997,23.0051911633722,14997,0
0.556,499.853586301202,0.0821702577190762,0.00410851288595381,2.61722725765728,52.3445451531456,2.83819673886782,0,500,498.046875,1.953125,2.83819673886782,2.82608041717593,-528.830911015099,0,2.83819673886782,0.236516394905652,2.83819673886782,0,23.0575395237276,15031,34,498.046875,-1.80671130120248,499.853586301202,498.046875,1,0,2,2,15031,0,0,15031,23.0575395237276,15031,0
0.557,499.795966209072,0.100135191852533,0.00500675959262665,2.61692555956039,52.3385111912078,2.83836240879291,0,500,498.046875,1.953125,2.83836240879291,2.82624608710102,-440.692425845916,0,2.83836240879291,0.236530200732743,2.83836240879291,0,23.1098803148082,15065,34,498.046875,-1.74909120907188,499.795966209072,498.046875,0,1,1,1,15065,0,0,15065,23.1098803148082,15065,0
0.558,499.792891924408,0.106832230656171,0.00534161153280854,2.61690946264353,52.3381892528705,2.838528078718,0,500,498.046875,1.953125,2.838528078718,2.82641175702611,-367.24368820493,0,2.838528078718,0.236544006559834,2.838528078718,0,23.1622183904477,15099,34,498.046875,-1.74601692440768,499.792891924408,498.046875,1,0,2,2,15099,0,0,15099,23.1622183904477,15099,0
0.559,499.810139687198,0.109331174898108,0.00546655874490542,2.61699977171832,52.3399954343663,2.83869374864309,0,500,498.046875,1.953125,2.83869374864309,2.8265774269512,-306.036406837442,0,2.83869374864309,0.236557812386925,2.83869374864309,0,23.2145573805264,15133,34,498.046875,-1.76326468719799,499.810139687198,498.046875,0,1,1,1,15133,0,0,15133,23.2145573805264,15133,0
0.56,499.834958707099,0.110266029792571,0.00551330148962853,2.61712972380263,52.3425944760527,2.83885941856819,0,500,498.046875,1.953125,2.83885941856819,2.82674309687629,-255.030339031201,0,2.83885941856819,0.236571618214016,2.83885941856819,0,23.2668986374173,15167,34,498.046875,-1.78808370709925,499.834958707099,498.046875,1,0,2,2,15167,0,0,15167,23.2668986374173,15167,0
