time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.56125,1999.2984442412,0.421130762815827,0.0210565381407913,10.4683021746028,209.366043492056,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5613,1999.29901664596,0.421128900966174,0.0210564450483087,10.4683051717071,209.366103434142,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56135,1999.29958857976,0.421127056865111,0.0210563528432556,10.4683081663455,209.366163326909,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5614,1999.30016004677,0.421125229706892,0.0210562614853446,10.4683111585397,209.366223170794,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56145,1999.30073105096,0.421123418724547,0.0210561709362274,10.4683141483107,209.366282966213,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5615,1999.30130159613,0.421121623188017,0.0210560811594008,10.4683171356782,209.366342713563,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56155,1999.3018716859,0.421119842402372,0.0210559921201186,10.4683201206612,209.366402413225,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5616,1999.30244132374,0.421118075706125,0.0210559037853063,10.468323103278,209.36646206556,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56165,1999.30301051297,0.421116322469616,0.0210558161234808,10.4683260835458,209.366521670917,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5617,1999.30357925674,0.42111458209348,0.021055729104674,10.4683290614812,209.366581229625,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56175,1999.30414755807,0.421112854007189,0.0210556427003595,10.4683320371001,209.366640742001,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5618,1999.30471541987,0.421111137667665,0.0210555568833833,10.4683350104175,209.366700208349,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56185,1999.30528284488,0.421109432557952,0.0210554716278976,10.4683379814479,209.366759628958,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5619,1999.30584983577,0.421107738185962,0.0210553869092981,10.4683409502052,209.366819004105,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56195,1999.30641639504,0.421106054083278,0.0210553027041639,10.4683439167027,209.366878334054,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.562,1999.30698252514,0.42110437980401,0.0210552189902005,10.4683468809529,209.366937619058,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.56205,1999.30754819603,0.421102446300944,0.0210551223150472,10.4683498427988,209.366996855975,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.5621,1999.30811337971,0.421100534901891,0.0210550267450946,10.4683528020936,209.367056041873,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.56215,1999.30867808138,0.421098644590696,0.0210549322295348,10.4683557588646,209.367115177293,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.5622,1999.30924230596,0.421096774400116,0.0210548387200058,10.4683587131376,209.367174262753,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.56225,1999.30980605818,0.421094923409466,0.0210547461704733,10.4683616649374,209.367233298747,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.5623,1999.31036934254,0.421093090742374,0.0210546545371187,10.4683646142873,209.367292285747,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.56235,1999.31093216333,0.421091275564648,0.0210545637782324,10.4683675612101,209.367351224202,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
0.5624,1999.31149452465,0.421089477082244,0.0210544738541122,10.4683705057271,209.367410114543,11.3104778443006,0,2000,1999.30698252514,0.693017474864291,11.3104778443006,11.3061786710968,12.4109505043218,0
