time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.57235,2120.36382912548,0.448962249472658,0.0224481124736329,11.1021990475302,222.043980950604,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5724,2120.36499237823,0.448959161866334,0.0224479580933167,11.1022051383074,222.044102766148,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57245,2120.36615483599,0.448956076370174,0.0224478038185087,11.102211224922,222.04422449844,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5725,2120.36731649929,0.448952992982737,0.0224476496491368,11.1022173073768,222.044346147536,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57255,2120.36847736867,0.448949911702581,0.022447495585129,11.1022233856746,222.044467713493,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5726,2120.36963744468,0.448946832528266,0.0224473416264133,11.1022294598184,222.044589196368,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57265,2120.37079672785,0.448943755458354,0.0224471877729177,11.1022355298109,222.044710596219,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5727,2120.37195521874,0.448940680491405,0.0224470340245703,11.102241595655,222.044831913101,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57275,2120.37311291788,0.448937607625983,0.0224468803812992,11.1022476573535,222.044953147071,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5728,2120.37426982581,0.448934536860651,0.0224467268430326,11.1022537149093,222.045074298186,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57285,2120.37542594307,0.448931468193975,0.0224465734096987,11.1022597683251,222.045195366503,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5729,2120.37658127021,0.448928401624519,0.0224464200812259,11.1022658176039,222.045316352078,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57295,2120.37773580776,0.44892533715085,0.0224462668575425,11.1022718627484,222.045437254968,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.573,2120.37888955627,0.448922274771537,0.0224461137385769,11.1022779037614,222.045558075229,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57305,2120.38004251627,0.448919214485148,0.0224459607242574,11.1022839406459,222.045678812918,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5731,2120.3811946883,0.448916156290252,0.0224458078145126,11.1022899734045,222.045799468091,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57315,2120.3823460729,0.44891310018542,0.022445655009271,11.1022960020402,222.045920040804,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5732,2120.38349667061,0.448910046169224,0.0224455023084612,11.1023020265557,222.046040531115,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57325,2120.38464648197,0.448906994240236,0.0224453497120118,11.1023080469539,222.046160939078,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5733,2120.38579550751,0.448903944397029,0.0224451972198515,11.1023140632376,222.046281264751,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57335,2120.38694374777,0.448900896638179,0.022445044831909,11.1023200754095,222.04640150819,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5734,2120.38809120329,0.448897850962261,0.022444892548113,11.1023260834726,222.046521669451,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57345,2120.3892378746,0.448894807367851,0.0224447403683925,11.1023320874295,222.04664174859,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5735,2120.39038376224,0.448891765853526,0.0224445882926763,11.1023380872832,222.046761745663,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57355,2120.39152886675,0.448888726417866,0.0224444363208933,11.1023440830363,222.046881660727,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5736,2120.39267318866,0.448885689059449,0.0224442844529724,11.1023500746918,222.047001493837,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.57365,2120.3938167285,0.448882653776855,0.0224441326888428,11.1023560622525,222.047121245049,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
0.5737,2120.39495948681,0.448879620568667,0.0224439810284334,11.102362045721,222.04724091442,12,0,3000,2120.37888955627,879.621110443729,15.723676197021,10.2668967583692,24.94244294484,-3.72367619702096
