time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.53695,2119.30410244651,0.45177506789981,0.0225887533949905,11.0966503316144,221.933006632289,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.537,2119.30598994894,0.451770057927224,0.0225885028963612,11.096660214554,221.933204291081,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53705,2119.30787616139,0.451765051378606,0.0225882525689303,11.0966700907393,221.933401814787,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5371,2119.30976108474,0.451760048251617,0.0225880024125808,11.0966799601749,221.933599203499,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53715,2119.31164471988,0.451755048543918,0.0225877524271959,11.0966898228655,221.93379645731,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5372,2119.31352706769,0.451750052253172,0.0225875026126586,11.0966996788156,221.933993576311,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53725,2119.31540812905,0.451745059377044,0.0225872529688522,11.0967095280298,221.934190560595,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5373,2119.31728790482,0.451740069913201,0.0225870034956601,11.0967193705127,221.934387410255,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.53735,2119.31916639591,0.45173508385931,0.0225867541929655,11.096729206269,221.934584125381,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
0.5374,2119.32104360317,0.451730101213042,0.0225865050606521,11.0967390353033,221.934780706066,12,0,3000,2119.30598994894,880.694010051063,55.1492719803681,49.6858367481621,40.8051853203716,-43.1492719803681
