time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad,ideal_encoder_count_phase5a,count_difference_vs_phase5a
0.544,1499.41991514145,0.327910645570032,0.0163955322785016,7.85094431675769,157.018886335154,8.42520883324002,0,1500,1508.7890625,-8.7890625,8.42520883324002,8.47973228085353,1693.07643197893,0,8.42520883324002,0.702100736103335,8.42520883324002,0,67.2867338504643,43864,103,1508.7890625,9.36914735854975,1499.41991514145,1508.7890625,0,0,0,0,43864,0,0,43864,67.2867338504643,43864,0
0.545,1499.41447879789,0.302122859136118,0.0151061429568059,7.85091585212938,157.018317042588,8.5153357312663,0,1500,1494.140625,5.859375,8.5153357312663,8.47898676619062,-1030.50922335089,0,8.5153357312663,0.709611310938859,8.5153357312663,0,67.4437535092858,43966,102,1494.140625,-5.27385379789257,1499.41447879789,1494.140625,1,1,3,3,43966,0,0,43966,67.4437535092858,43966,0
0.546,1499.4104947137,0.321157291696552,0.0160578645848276,7.85089499151335,157.017899830267,8.51583274104158,0,1500,1494.140625,5.859375,8.51583274104158,8.4794837759659,-858.757686125746,0,8.51583274104158,0.709652728420131,8.51583274104158,0,67.6007708373495,44068,102,1494.140625,-5.26986971370366,1499.4104947137,1494.140625,0,0,0,0,44068,0,0,44068,67.6007708373495,44068,0
0.547,1499.46426663579,0.328260230395682,0.0164130115197841,7.851176540639,157.02353081278,8.42545733812765,0,1500,1508.7890625,-8.7890625,8.42545733812765,8.47998078574117,1725.77484489521,0,8.42545733812765,0.702121444843971,8.42545733812765,0,67.7577912620454,44171,103,1508.7890625,9.32479586421118,1499.46426663579,1508.7890625,1,0,2,2,44171,0,0,44171,67.7577912620454,44171,0
0.548,1499.45985264284,0.302255489150776,0.0151127744575388,7.85115342902597,157.023068580519,8.51558423615394,0,1500,1494.140625,5.859375,8.51558423615394,8.47923527107826,-1003.26054592066,0,8.51558423615394,0.709632019679495,8.51558423615394,0,67.9148156277798,44273,102,1494.140625,-5.31922764284081,1499.45985264284,1494.140625,0,1,1,1,44273,0,0,44273,67.9148156277798,44273,0
0.549,1499.45623211252,0.321209136602037,0.0160604568301019,7.85113447197353,157.02268943947,8.51608124592922,0,1500,1494.140625,5.859375,8.51608124592922,8.47973228085354,-836.050454933881,0,8.51608124592922,0.709673437160768,8.51608124592922,0,68.0718377297325,44375,102,1494.140625,-5.315607112517,1499.45623211252,1494.140625,1,0,2,2,44375,0,0,44375,68.0718377297325,44375,0
0.55,1499.51012237522,0.328282022496497,0.0164141011248248,7.85141664072921,157.028332814584,8.42570584301529,0,1500,1508.7890625,-8.7890625,8.42570584301529,8.48022929062881,1744.6975375551,0,8.42570584301529,0.702142153584608,8.42570584301529,0,68.2288629514674,44478,103,1508.7890625,9.27894012477987,1499.51012237522,1508.7890625,1,1,3,3,44478,0,0,44478,68.2288629514674,44478,0
0.551,1499.50573559581,0.302266129233406,0.0151133064616703,7.85139367160593,157.027873432119,8.51583274104158,0,1500,1494.140625,5.859375,8.51583274104158,8.4794837759659,-987.49163537075,0,8.51583274104158,0.709652728420132,8.51583274104158,0,68.3858921210859,44580,102,1494.140625,-5.36511059581017,1499.50573559581,1494.140625,0,0,0,0,44580,0,0,44580,68.3858921210859,44580,0
0.552,1499.50210855687,0.321215665949692,0.0160607832974846,7.85137468047443,157.027493609489,8.42545733812766,0,1500,1508.7890625,-8.7890625,8.42545733812766,8.47998078574117,1618.49655385771,0,8.42545733812766,0.702121444843971,8.42545733812765,-1.77635683940025e-15,68.5429190277179,44683,103,1508.7890625,9.2869539431324,1499.50210855687,1508.7890625,1,0,2,3,44683,1,0,44683,68.5429190277179,44683,0
0.553,1499.47627733471,0.299624712719156,0.0149812356359578,7.85123942851148,157.02478857023,8.51558423615394,0,1500,1494.140625,5.859375,8.51558423615394,8.47923527107826,-1092.65912178524,0,8.51558423615394,0.709632019679495,8.51558423615394,-1.77635683940025e-15,68.699946053674,44785,102,1494.140625,-5.3356523347079,1499.47627733471,1494.140625,0,1,1,1,44785,0,0,44785,68.699946053674,44785,0
