time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm
0.325,1970.42708633037,0.519048593776747,0.0259524296888373,10.3171320980831,206.342641961661,11.2885876022633,0,2000,1977.5390625,22.4609375,11.2885876022633,11.1492499028065,1838.72877818148,0,11.2885876022633,0.940715633521941,11.2885876022633,0,43.7172921278845,28499,135,1977.5390625,7.11197616962704,1970.42708633037,1977.5390625
0.326,1970.87539181252,0.497540470168919,0.024877023508446,10.3194794200985,206.389588401971,11.381365219091,0,2000,1962.890625,37.109375,11.381365219091,11.1511551069451,-909.132268182101,0,11.381365219091,0.948447101590921,11.381365219091,0,43.9236591295186,28633,134,1962.890625,-7.98476681252373,1970.87539181252,1962.890625
0.327,1971.33782064931,0.518222341675979,0.025911117083799,10.321900691826,206.43801383652,11.2936405349786,0,2000,1977.5390625,22.4609375,11.2936405349786,11.1543028355218,1683.79602651492,0,11.2936405349786,0.941136711248216,11.2936405349786,0,44.1300720876276,28768,135,1977.5390625,6.20124185068948,1971.33782064931,1977.5390625
0.328,1971.78297954365,0.49732979426269,0.0248664897131345,10.3242315383462,206.484630766924,11.3864181518063,0,2000,1962.890625,37.109375,11.3864181518063,11.1562080396604,-1038.2428945709,0,11.3864181518063,0.948868179317195,11.3864181518063,0,44.3365342711126,28902,134,1962.890625,-8.89235454365348,1971.78297954365,1962.890625
0.329,1972.24413240215,0.518241286940248,0.0259120643470124,10.3266461290669,206.532922581339,11.2986934676939,0,2000,1977.5390625,22.4609375,11.2986934676939,11.1593557682371,1576.20383785758,0,11.2986934676939,0.94155778897449,11.2986934676939,0,44.5430421953495,29037,135,1977.5390625,5.29493009785119,1972.24413240215,1977.5390625
0.33,1972.6887136613,0.497434561176763,0.0248717280588381,10.3289739510964,206.579479021928,11.3005986718324,0,2000,1977.5390625,22.4609375,11.3005986718324,11.1612609723757,1313.50319821465,0,11.3005986718324,0.941716555986036,11.3005986718324,0,44.74959925381,29172,135,1977.5390625,4.85034883869753,1972.6887136613,1977.5390625
0.331,1973.06984781729,0.489715945068265,0.0244857972534132,10.3309695648705,206.619391297411,11.3933762886602,0,2000,1962.890625,37.109375,11.3933762886602,11.1631661765142,-1346.82025148779,0,11.3933762886602,0.949448024055016,11.3933762886602,-1.77635683940025e-15,44.9561990094048,29306,134,1962.890625,-10.1792228172876,1973.06984781729,1962.890625
0.332,1973.50699027319,0.515536082836487,0.0257768041418244,10.3332584374173,206.665168748345,11.3056516045477,0,2000,1977.5390625,22.4609375,11.3056516045477,11.166313905091,1319.05604042684,0,11.3056516045477,0.942137633712311,11.3056516045477,0,45.1628402355046,29441,135,1977.5390625,4.03207222681158,1973.50699027319,1977.5390625
0.333,1973.94247145179,0.496558587670898,0.0248279293835449,10.3355386115364,206.710772230727,11.3075568086863,0,2000,1977.5390625,22.4609375,11.3075568086863,11.1682191092295,1099.21336702237,0,11.3075568086863,0.942296400723857,11.3075568086863,0,45.3695289885666,29576,135,1977.5390625,3.59659104820958,1973.94247145179,1977.5390625
0.334,1974.32006278409,0.48952189497508,0.024476094748754,10.337515675129,206.750313502581,11.3094620128248,0,2000,1977.5390625,22.4609375,11.3094620128248,11.1701243133681,916.011139185306,0,11.3094620128248,0.942455167735403,11.3094620128248,0,45.5762598238752,29711,135,1977.5390625,3.21899971591324,1974.32006278409,1977.5390625
0.335,1974.67603232212,0.486934145706513,0.0243467072853257,10.3393795272717,206.787590545434,11.4022396296526,0,2000,1962.890625,37.109375,11.4022396296526,11.1720295175066,-1678.06363401224,0,11.4022396296526,0.950186635804383,11.4022396296526,-1.77635683940025e-15,45.7830288857262,29845,134,1962.890625,-11.7854073221188,1974.67603232212,1962.890625
0.336,1975.10359587065,0.514666437057062,0.0257333218528531,10.3416182447767,206.832364895534,11.3145149455401,0,2000,1977.5390625,22.4609375,11.3145149455401,11.1751772460834,1043.01988832313,0,11.3145149455401,0.942876245461678,11.3145149455401,0,45.9898377310327,29980,135,1977.5390625,2.43546662935319,1975.10359587065,1977.5390625
0.337,1975.53530769186,0.496401887800633,0.0248200943900316,10.3438786825867,206.877573651734,11.3164201496787,0,2000,1977.5390625,22.4609375,11.3164201496787,11.1770824502219,869.183240269275,0,11.3164201496787,0.943035012473224,11.3164201496787,0,46.1966934536115,30115,135,1977.5390625,2.00375480813682,1975.53530769186,1977.5390625
0.338,1975.91129686192,0.489631343363319,0.024481567168166,10.3458473572775,206.916947145549,11.3183253538172,0,2000,1977.5390625,22.4609375,11.3183253538172,11.1789876543605,724.319366891062,0,11.3183253538172,0.94319377948477,11.3183253538172,0,46.4035909955243,30250,135,1977.5390625,1.62776563808416,1975.91129686192,1977.5390625
0.339,1976.2664743588,0.487143271218996,0.0243571635609498,10.3477070623023,206.954141246047,11.3202305579558,0,2000,1977.5390625,22.4609375,11.3202305579558,11.180892858499,603.599472409218,0,11.3202305579558,0.943352546496316,11.3202305579558,0,46.6105266454524,30385,135,1977.5390625,1.27258814120205,1976.2664743588,1977.5390625
