time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm
0.6748,999.992451432012,0.195984865815099,0.00979924329075493,5.23594823177343,104.718964635469,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5532880013617,38116,69,1010.7421875,10.749736067988,999.992451432012,1010.7421875
0.67485,999.989124407928,0.195025955296981,0.00975129776484907,5.23593081151606,104.718616230321,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5585239409831,38116,69,1010.7421875,10.7530630920718,999.989124407928,1010.7421875
0.6749,999.985574313959,0.194114250674253,0.00970571253371264,5.2359122232675,104.71824446535,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5637598625954,38116,69,1010.7421875,10.7566131860414,999.985574313959,1010.7421875
0.67495,999.981812156825,0.193247477455716,0.00966237387278579,5.23589252465882,104.717850493176,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5689957650596,38116,69,1010.7421875,10.7603753431746,999.981812156825,1010.7421875
0.675,999.977848412904,0.192423470707485,0.00962117353537426,5.23587177054418,104.717435410884,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.5742316472929,38184,68,996.09375,-3.88409841290422,999.977848412904,996.09375
0.67505,999.973957088001,0.193833888784203,0.00969169443921013,5.23585139561463,104.717027912293,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.579467508729,38184,68,996.09375,-3.88020708800104,999.973957088001,996.09375
0.6751,999.97039444073,0.19517599547667,0.00975879977383349,5.23583274163714,104.716654832743,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.5847033506577,38184,68,996.09375,-3.87664444072959,999.97039444073,996.09375
0.67515,999.96714454294,0.1964530814382,0.00982265407191,5.23581572521211,104.716314504242,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.5899391747581,38184,68,996.09375,-3.8733945429401,999.96714454294,996.09375
0.6752,999.96419223377,0.197668278818978,0.00988341394094891,5.23580026695744,104.716005339149,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.5951749826275,38184,68,996.09375,-3.87044223376984,999.96419223377,996.09375
0.67525,999.961523082685,0.198824568900781,0.00994122844503904,5.23578629131504,104.715725826301,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6004107757862,38184,68,996.09375,-3.86777308268518,999.961523082685,996.09375
0.6753,999.959123354303,0.199924789363948,0.00999623946819742,5.23577372636661,104.715474527332,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6056465556803,38184,68,996.09375,-3.86537335430262,999.959123354303,996.09375
0.67535,999.956979974905,0.200971641204327,0.0100485820602163,5.23576250365833,104.715250073167,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6108823236863,38184,68,996.09375,-3.86322997490515,999.956979974905,996.09375
0.6754,999.955080500572,0.201967695317033,0.0100983847658516,5.23575255803398,104.71505116068,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6161180811133,38184,68,996.09375,-3.86133050057174,999.955080500572,996.09375
0.67545,999.953413086841,0.202915398763099,0.010145769938155,5.2357438274761,104.714876549522,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6213538292073,38184,68,996.09375,-3.85966308684101,999.953413086841,996.09375
0.6755,999.951966459837,0.203817080734267,0.0101908540367134,5.23573625295482,104.714725059096,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6265895691536,38184,68,996.09375,-3.85821645983697,999.951966459837,996.09375
0.67555,999.950729888785,0.204674958230472,0.0102337479115236,5.23572977828393,104.714595565679,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6318253020798,38184,68,996.09375,-3.85697988878519,999.950729888785,996.09375
0.6756,999.949693159853,0.205491141463852,0.0102745570731926,5.23572434998393,104.714486999679,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6370610290589,38184,68,996.09375,-3.85594315985259,999.949693159853,996.09375
0.67565,999.948846551248,0.206267639002469,0.0103133819501235,5.23571991715164,104.714398343033,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6422967511116,38184,68,996.09375,-3.85509655124758,999.948846551248,996.09375
0.6757,999.94818080952,0.207006362666257,0.0103503181333129,5.23571643133611,104.714328626722,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6475324692089,38184,68,996.09375,-3.85443080952007,999.94818080952,996.09375
0.67575,999.947687127002,0.207709132187152,0.0103854566093576,5.23571384642049,104.71427692841,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6527681842745,38184,68,996.09375,-3.85393712700193,999.947687127002,996.09375
0.6758,999.947357120335,0.208377679644753,0.0104188839822376,5.23571211850962,104.714242370192,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6580038971873,38184,68,996.09375,-3.85360712033503,999.947357120335,996.09375
0.67585,999.947182810033,0.209013653688324,0.0104506826844162,5.23571120582302,104.71422411646,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6632396087833,38184,68,996.09375,-3.85343281003293,999.947182810033,996.09375
0.6759,999.947156601027,0.209618623555439,0.0104809311777719,5.23571106859298,104.71422137186,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6684753198574,38184,68,996.09375,-3.85340660102747,999.947156601027,996.09375
0.67595,999.947271264152,0.210194082897051,0.0105097041448526,5.2357116689677,104.714233379354,5.67854718676185,0,1000,996.09375,3.90625,5.67854718676185,5.65431454337806,-794.676886208323,0,5.67854718676185,0.473212265563487,5.67854718676185,0,58.6737110311663,38184,68,996.09375,-3.85352126415228,999.947271264152,996.09375
0.676,999.947519918518,0.210741453418325,0.0105370726709162,5.23571297091892,104.714259418378,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.6789467434292,38252,68,996.09375,-3.85376991851808,999.947519918518,996.09375
0.67605,999.947896987212,0.211270168119595,0.0105635084059798,5.23571494524598,104.71429890492,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.6841824573323,38252,68,996.09375,-3.85414698721183,999.947896987212,996.09375
0.6761,999.948397145258,0.211773040966808,0.0105886520483404,5.23571756406739,104.714351281348,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.6894181735345,38252,68,996.09375,-3.85464714525847,999.948397145258,996.09375
0.67615,999.949014367201,0.212251316956917,0.0106125658478458,5.23572079583392,104.714415916678,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.6946538926647,38252,68,996.09375,-3.85526436720056,999.949014367201,996.09375
0.6762,999.949742917878,0.212706181118153,0.0106353090559077,5.23572461051635,104.714492210327,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.6998896153205,38252,68,996.09375,-3.85599291787844,999.949742917878,996.09375
0.67625,999.950577338447,0.213138761398581,0.010656938069929,5.23572897953223,104.714579590645,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.7051253420705,38252,68,996.09375,-3.85682733844749,999.950577338447,996.09375
0.6763,999.951512433068,0.213550131415509,0.0106775065707755,5.23573387567622,104.714677513524,5.67887852661203,0,1000,996.09375,3.90625,5.67887852661203,5.65464588322825,-662.230738506936,0,5.67887852661203,0.473239877217669,5.67887852661203,0,58.7103610734553,38252,68,996.09375,-3.85776243306839,999.951512433068,996.09375
