time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V
0.54315,499.787028959712,0.105414806312032,0.00527074031560159,2.61687876423217,52.3375752846433,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5432,499.787205463994,0.105414211720388,0.00527071058601938,2.61687968840643,52.3375937681285,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54325,499.787381818285,0.105413623600737,0.00527068118003684,2.61688061179533,52.3376122359067,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5433,499.787558024102,0.105413041656489,0.00527065208282445,2.61688153440683,52.3376306881367,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54335,499.787734082892,0.10541246560533,0.00527062328026648,2.6168824562485,52.3376491249701,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5434,499.787909996037,0.105411895178532,0.00527059475892662,2.61688337732758,52.3376675465516,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54345,499.788085764857,0.105411330120304,0.00527056650601521,2.61688429765097,52.3376859530193,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5435,499.788261390611,0.105410770187163,0.00527053850935816,2.61688521722526,52.3377043445052,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54355,499.788436874501,0.105410215147344,0.00527051075736722,2.61688613605676,52.3377227211353,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5436,499.788612217676,0.105409664780237,0.00527048323901183,2.61688705415148,52.3377410830297,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54365,499.788787421235,0.105409118875844,0.00527045594379221,2.61688797151517,52.3377594303034,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5437,499.788962486224,0.105408577234277,0.00527042886171384,2.61688888815331,52.3377777630662,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
