time_s,duty_ideal,duty_quantized,voltage_quantized_V
0.648,0.471247753032375,0.471306471306471,5.65567765567766
0.649,0.471247622576328,0.471306471306471,5.65567765567766
0.65,0.471247494033632,0.471306471306471,5.65567765567766
0.651,0.471247367376344,0.471306471306471,5.65567765567766
0.652,0.47124724257693,0.471306471306471,5.65567765567766
0.653,0.471247119608254,0.471306471306471,5.65567765567766
0.654,0.471246998443576,0.471306471306471,5.65567765567766
0.655,0.471246879056544,0.471306471306471,5.65567765567766
0.656,0.471246761421192,0.471306471306471,5.65567765567766
0.657,0.471246645511928,0.471306471306471,5.65567765567766
0.658,0.471246531303535,0.471306471306471,5.65567765567766
0.659,0.471246418771161,0.471306471306471,5.65567765567766
0.66,0.471246307890316,0.471306471306471,5.65567765567766
0.661,0.471246198636869,0.471306471306471,5.65567765567766
0.662,0.471246090987036,0.471306471306471,5.65567765567766
0.663,0.471245984917382,0.471306471306471,5.65567765567766
0.664,0.471245880404812,0.471306471306471,5.65567765567766
0.665,0.471245777426567,0.471306471306471,5.65567765567766
0.666,0.47124567596022,0.471306471306471,5.65567765567766
0.667,0.471245575983669,0.471306471306471,5.65567765567766
0.668,0.471245477475136,0.471306471306471,5.65567765567766
0.669,0.471245380413158,0.471306471306471,5.65567765567766
0.67,0.471245284776585,0.471306471306471,5.65567765567766
0.671,0.471245190544575,0.471306471306471,5.65567765567766
0.672,0.471245097696591,0.471306471306471,5.65567765567766
0.673,0.471245006212392,0.471306471306471,5.65567765567766
0.674,0.471244916072035,0.471306471306471,5.65567765567766
0.675,0.471244827255864,0.471306471306471,5.65567765567766
0.676,0.471244739744512,0.471306471306471,5.65567765567766
0.677,0.471244653518893,0.471306471306471,5.65567765567766
0.678,0.4712445685602,0.471306471306471,5.65567765567766
0.679,0.471244484849898,0.471306471306471,5.65567765567766
0.68,0.471244402369723,0.471306471306471,5.65567765567766
0.681,0.471244321101679,0.471306471306471,5.65567765567766
0.682,0.471244241028028,0.471306471306471,5.65567765567766
0.683,0.471244162131294,0.471306471306471,5.65567765567766
0.684,0.471244084394254,0.471306471306471,5.65567765567766
0.685,0.471244007799938,0.471306471306471,5.65567765567766
0.686,0.471243932331619,0.471306471306471,5.65567765567766
0.687,0.471243857972818,0.471306471306471,5.65567765567766
0.688,0.471243784707296,0.471306471306471,5.65567765567766
0.689,0.471243712519047,0.471306471306471,5.65567765567766
0.69,0.471243641392301,0.471306471306471,5.65567765567766
0.691,0.471243571311519,0.471306471306471,5.65567765567766
0.692,0.471243502261386,0.471306471306471,5.65567765567766
0.693,0.471243434226811,0.471306471306471,5.65567765567766
0.694,0.471243367192925,0.471306471306471,5.65567765567766
