time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm
0.36663696465625,2093.71601191863,0.519693196206835,0.0259846598103417,10.9626714029115,219.253428058229,12,0
0.36668696465625,2093.73538710582,0.519641768905214,0.0259820884452607,10.9627728511544,219.255457023087,12,0
0.366736964656249,2093.75474905141,0.519590376750586,0.0259795188375293,10.9628742300644,219.257484601288,12,0
0.366786964656249,2093.77409776446,0.51953901971893,0.0259769509859465,10.962975539689,219.25951079378,12,0
0.366836964656249,2093.793433254,0.519487697786243,0.0259743848893122,10.9630767800755,219.26153560151,12,0
0.366886964656249,2093.81275552908,0.519436410928537,0.0259718205464268,10.9631779512712,219.263559025425,12,0
0.366936964656249,2093.83206459872,0.51938515912184,0.025969257956092,10.9632790533235,219.265581066469,12,0
0.366986964656249,2093.85136047195,0.519333942342197,0.0259666971171099,10.9633800862795,219.267601725589,12,0
0.367036964656249,2093.87064315779,0.51928276056567,0.0259641380282835,10.9634810501864,219.269621003729,12,0
0.367086964656249,2093.88991266526,0.519231613768337,0.0259615806884169,10.9635819450916,219.271638901832,12,0
0.367136964656249,2093.90916900335,0.519180501926292,0.0259590250963146,10.9636827710421,219.273655420841,12,0
0.367186964656249,2093.92841218107,0.519129425015644,0.0259564712507822,10.963783528085,219.2756705617,12,0
0.367236964656249,2093.94764220742,0.519078383012522,0.0259539191506261,10.9638842162675,219.27768432535,12,0
0.367286964656249,2093.96685909137,0.519027375893068,0.0259513687946534,10.9639848356366,219.279696712732,12,0
0.367336964656249,2093.98606284192,0.518976403633442,0.0259488201816721,10.9640853862393,219.281707724786,12,0
0.367386964656249,2094.00525346804,0.518925466209819,0.025946273310491,10.9641858681227,219.283717362454,12,0
0.367436964656249,2094.02443097869,0.518874563598392,0.0259437281799196,10.9642862813337,219.285725626674,12,0
0.367486964656249,2094.04359538285,0.518823695775368,0.0259411847887684,10.9643866259192,219.287732518384,12,0
0.367536964656249,2094.06274668947,0.518772862716972,0.0259386431358486,10.9644869019262,219.289738038523,12,0
0.367586964656249,2094.0818849075,0.518722064399445,0.0259361032199723,10.9645871094014,219.291742188028,12,0
0.367636964656249,2094.10101004588,0.518671300799045,0.0259335650399522,10.9646872483918,219.293744967837,12,0
0.367686964656249,2094.12012211356,0.518620571892043,0.0259310285946022,10.9647873189442,219.295746378884,12,0
0.367736964656249,2094.13922111946,0.518569877654731,0.0259284938827365,10.9648873211052,219.297746422105,12,0
0.367786964656249,2094.15830707252,0.518519218063413,0.0259259609031706,10.9649872549218,219.299745098436,12,0
0.367836964656249,2094.17737998166,0.518468593094411,0.0259234296547205,10.9650871204405,219.30174240881,12,0
0.367886964656249,2094.19643985578,0.518418002724063,0.0259209001362031,10.965186917708,219.303738354161,12,0
0.367936964656249,2094.2154867038,0.518367446928724,0.0259183723464362,10.9652866467711,219.305732935421,12,0
